Last Sale,,Market_Vol,Calls,Heston_Call,Vol,Bid,Open Int,Days,Strike,Maturity Date,Ask,Heston_Vol,Date,Diff,Stock
0,0,nan,17 Apr 18.00 (SH1721D18),16.284710198915672,0,14,0,30,18,17/04/17,18.4,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 19.00 (SH1721D19),15.382731206230293,0,12.9,0,30,19,17/04/17,17.5,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 20.00 (SH1721D20),14.238484669694497,0,11.9,0,30,20,17/04/17,16.5,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 21.00 (SH1721D21),13.332877833293118,0,10.9,0,30,21,17/04/17,15.5,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 22.00 (SH1721D22),12.27778540769647,0,9.9,0,30,22,17/04/17,14.5,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 23.00 (SH1721D23),11.330725949576966,0,9,0,30,23,17/04/17,13.4,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 24.00 (SH1721D24),10.340894804588046,0,8.1,0,30,24,17/04/17,12.5,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 25.00 (SH1721D25),9.187741987067515,0,6.9,0,30,25,17/04/17,11.2,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 26.00 (SH1721D26),8.305116276875985,0,5.8,0,30,26,17/04/17,10.2,nan,18/03/17,0.082191781,34.29
0,0,2.9778101604777407,17 Apr 27.00 (SH1721D27),7.4400686191569605,0,4.7,0,30,27,17/04/17,9,nan,18/03/17,0.082191781,34.29
0,0,2.625088852904367,17 Apr 28.00 (SH1721D28),6.253677387763069,0,4.1,0,30,28,17/04/17,8.5,2.6105417312793575,18/03/17,0.082191781,34.29
0,0,2.1547107215940144,17 Apr 29.00 (SH1721D29),5.157021926157647,0,3.1,0,30,29,17/04/17,7.5,2.1115750391701016,18/03/17,0.082191781,34.29
0,0,1.7312921795011633,17 Apr 30.00 (SH1721D30),4.343059510251493,0,2.25,0,30,30,17/04/17,6.5,1.7219793680465005,18/03/17,0.082191781,34.29
0,0,1.2923661246768523,17 Apr 31.00 (SH1721D31),3.4057587872345465,0,2.75,0,30,31,17/04/17,3.9,1.3152266862959114,18/03/17,0.082191781,34.29
0,0,0.8929214343523412,17 Apr 32.00 (SH1721D32),2.252492106343471,0,0,0,30,32,17/04/17,4.7,0.8659785616311473,18/03/17,0.082191781,34.29
1.44,0,0.3719569532321669,17 Apr 33.00 (SH1721D33),1.3129695905039291,0,0.25,3,30,33,17/04/17,1.5,0.4917852471960403,18/03/17,0.082191781,34.29
0.5,0,0.16311873469607202,17 Apr 34.00 (SH1721D34),0.8097705996212028,24,0.4,56,30,34,17/04/17,0.6,0.24339757717270946,18/03/17,0.082191781,34.29
0.19,0.01,nan,17 Apr 35.00 (SH1721D35),0.5238910697099506,12,0.15,530,30,35,17/04/17,0.25,nan,18/03/17,0.082191781,34.29
0.1,0,nan,17 Apr 36.00 (SH1721D36),0.2644784478672113,0,0,229,30,36,17/04/17,0.2,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 37.00 (SH1721D37),0.10282556628514605,0,0,0,30,37,17/04/17,0.45,nan,18/03/17,0.082191781,34.29
0.05,0,nan,17 Apr 38.00 (SH1721D38),0.10521801883454152,0,0,22,30,38,17/04/17,0.2,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 39.00 (SH1721D39),0.14020064883981265,0,0,0,30,39,17/04/17,0.15,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 40.00 (SH1721D40),0.057644492927125035,0,0,0,30,40,17/04/17,0.15,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 41.00 (SH1721D41),-0.09344194979217635,0,0,0,30,41,17/04/17,0.3,-0.3861235315686157,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 42.00 (SH1721D42),-0.13723178680333514,0,0,0,30,42,17/04/17,0.1,-0.46195540602307805,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 43.00 (SH1721D43),-0.00974176217345421,0,0,0,30,43,17/04/17,0.1,-0.32834530843670623,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 44.00 (SH1721D44),0.15630216107389316,0,0,0,30,44,17/04/17,0.1,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 45.00 (SH1721D45),0.18415951940692388,0,0,0,30,45,17/04/17,0.1,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 46.00 (SH1721D46),0.04261314357275772,0,0,0,30,46,17/04/17,0.1,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 47.00 (SH1721D47),-0.13319398117112302,0,0,0,30,47,17/04/17,0.1,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 48.00 (SH1721D48),-0.18540587294372485,0,0,0,30,48,17/04/17,0.1,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 49.00 (SH1721D49),-0.0784029768563127,0,0,0,30,49,17/04/17,0.1,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 50.00 (SH1721D50),0.08663246891801146,0,0,0,30,50,17/04/17,0.1,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 51.00 (SH1721D51),0.17587678901633136,0,0,0,30,51,17/04/17,0.1,nan,18/03/17,0.082191781,34.29
0,0,nan,17 Apr 52.00 (SH1721D52),0.1351409954433336,0,0,0,30,52,17/04/17,0.1,nan,18/03/17,0.082191781,34.29
0.05,0,nan,17 May 53.00 (SH1719E53),-0.1125901887846612,0,0,53,60,53,17/05/17,0.1,nan,18/03/17,0.164383562,34.29
0.05,0,nan,17 May 54.00 (SH1719E54),0.03028079163194448,0,0,23,60,54,17/05/17,0.1,nan,18/03/17,0.164383562,34.29
0,0,nan,17 May 55.00 (SH1719E55),0.1832207262674255,0,0,0,60,55,17/05/17,0.1,nan,18/03/17,0.164383562,34.29
0,0,nan,17 May 56.00 (SH1719E56),0.266934579142837,0,0,0,60,56,17/05/17,4.8,nan,18/03/17,0.164383562,34.29
0,0,nan,17 May 57.00 (SH1719E57),0.2527420026476291,0,0,0,60,57,17/05/17,4.7,nan,18/03/17,0.164383562,34.29
0.05,0,nan,17 May 58.00 (SH1719E58),0.17560548539698412,0,0,235,60,58,17/05/17,0.1,nan,18/03/17,0.164383562,34.29
0,0,nan,18 Jan 11.00 (SH11819A11),24.491007889743905,0,3.6,10,671,11,18/01/19,8.5,nan,18/03/17,1.838356164,34.29
0,0,1.3117277589037757,18 Jan 12.00 (SH11819A12),23.461962833816344,0,2.5,0,671,12,18/01/19,7.5,nan,18/03/17,1.838356164,34.29
0,0,1.1102028880904187,18 Jan 13.00 (SH11819A13),22.420868296597106,0,2,0,671,13,18/01/19,6.5,nan,18/03/17,1.838356164,34.29
0,0,0.8772949127174509,18 Jan 14.00 (SH11819A14),21.336365910131775,0,0.6,0,671,14,18/01/19,5.5,nan,18/03/17,1.838356164,34.29
5,0,0.7087067348731682,18 Jan 15.00 (SH11819A15),20.24215921730739,0,1.9,114,671,15,18/01/19,2.45,nan,18/03/17,1.838356164,34.29
0,0,0.7042003692538369,18 Jan 16.00 (SH11819A16),19.150541705483803,0,0,0,671,16,18/01/19,5,nan,18/03/17,1.838356164,34.29
2.9,0,0.6604064865553537,18 Jan 17.00 (SH11819A17),18.075818425925497,0,0,5,671,17,18/01/19,5,nan,18/03/17,1.838356164,34.29
0.1,0,nan,18 Jan 60.00 (SH1819A60),-0.02741069919007444,0,0.05,2372,671,60,18/01/19,0.15,-0.1700974712075855,18/03/17,1.838356164,34.29
