Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Type,Stock,Strike ,Date,Maturity,Days,Diff,Market,Moneyness,WeightMax,WeightScaled
17 Apr 8.50 (SDS1707D8.5),0,0,4.85,5.3,0,0,Call,13.47,8.5,4/7/2017,4/7/2017,0,0,5.075,0.631031923,0.778248252,1.729893591
17 Apr 9.00 (SDS1707D9),0,0.0,4.2,4.9,0,0,Call,13.47,9,4/7/2017,4/7/2017,0,0,4.55,0.668151448,0.763576503,1.606161841
17 Apr 9.50 (SDS1707D9.5),0,0.0,2.2,4.8,0,0,Call,13.47,9.5,4/7/2017,4/7/2017,0,0,3.5,0.705270973,0.748904754,1.482430092
17 Apr 10.00 (SDS1707D10),0,0.0,3.2,3.9,0,0,Call,13.47,10,4/7/2017,4/7/2017,0,0,3.55,0.742390497,0.734233005,1.358698342
17 Apr 10.50 (SDS1707D10.5),0,0.0,2.6,3.4,0,0,Call,13.47,10.5,4/7/2017,4/7/2017,0,0,3,0.779510022,0.719561256,1.234966592
17 Apr 11.00 (SDS1707D11),2.7,0.0,2.18,2.88,0,3,Call,13.47,11,4/7/2017,4/7/2017,0,0,2.53,0.816629547,0.704889507,1.111234843
17 Apr 11.50 (SDS1707D11.5),0,0.0,1.78,2.28,0,0,Call,13.47,11.5,4/7/2017,4/7/2017,0,0,2.03,0.853749072,0.690217758,0.987503093
17 Apr 12.00 (SDS1707D12),1.5,0.0,1.3,1.76,0,18,Call,13.47,12,4/7/2017,4/7/2017,0,0,1.53,0.890868597,0.675546009,0.863771344
17 Apr 12.50 (SDS1707D12.5),0,0.0,0.78,1.28,0,0,Call,13.47,12.5,4/7/2017,4/7/2017,0,0,1.03,0.927988122,0.66087426,0.740039594
17 Apr 7.50 (SDS1713D7.5),0,0.0,5.7,6.35,0,0,Call,13.47,7.5,4/7/2017,4/13/2017,6,0.016438356,6.025,0.556792873,0.80759175,1.97735709
17 Apr 8.00 (SDS1713D8),0,0.0,3.5,7.3,0,0,Call,13.47,8,4/7/2017,4/13/2017,6,0.016438356,5.4,0.593912398,0.792920001,1.85362534
