Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Type,Stock,Market,Strike,Date,Temp1,Maturity,Days,Diff,Moneyness
17 Apr 55.00 (SSO1721D55),0,0,26.7,31.3,0,0,Call,83.9,29,55,4/21/17,SSO1721D55,4/21/17,0,0,0.655542312
17 Apr 60.00 (SSO1721D60),0,0,21.75,26.3,0,0,Call,83.9,24.025,60,4/21/17,SSO1721D60,4/21/17,0,0,0.715137068
17 Apr 63.00 (SSO1721D63),0,0,18.7,23.5,0,0,Call,83.9,21.1,63,4/21/17,SSO1721D63,4/21/17,0,0,0.750893921
17 Apr 64.00 (SSO1721D64),0,0,17,21.65,0,0,Call,83.9,19.325,64,4/21/17,SSO1721D64,4/21/17,0,`,0.762812872
17 Apr 65.00 (SSO1721D65),0,0,16,20.6,0,0,Call,83.9,18.3,65,4/21/17,SSO1721D65,4/21/17,0,0,0.774731824
17 Apr 66.00 (SSO1721D66),0,0,15,19.75,0,0,Call,83.9,17.375,66,4/21/17,SSO1721D66,4/21/17,0,0,0.786650775
17 Apr 67.00 (SSO1721D67),0,0,14,18.4,0,0,Call,83.9,16.2,67,4/21/17,SSO1721D67,4/21/17,0,0,0.798569726
17 Apr 68.00 (SSO1721D68),0,0,13,17.55,0,0,Call,83.9,15.275,68,4/21/17,SSO1721D68,4/21/17,0,0,0.810488677
17 Apr 69.00 (SSO1721D69),0,0,12,16.65,0,0,Call,83.9,14.325,69,4/21/17,SSO1721D69,4/21/17,0,0,0.822407628
17 Apr 70.00 (SSO1721D70),14.62,0,11.5,16.15,0,30,Call,83.9,13.825,70,4/21/17,SSO1721D70,4/21/17,0,0,0.834326579
17 Apr 71.00 (SSO1721D71),0,0,10,14.65,0,0,Call,83.9,12.325,71,4/21/17,SSO1721D71,4/21/17,0,0,0.84624553
17 Apr 72.00 (SSO1721D72),0,0,9.5,14.3,0,0,Call,83.9,11.9,72,4/21/17,SSO1721D72,4/21/17,0,0,0.858164482
17 Apr 73.00 (SSO1721D73),0,0,8,12.3,0,0,Call,83.9,10.15,73,4/21/17,SSO1721D73,4/21/17,0,0,0.870083433
17 Apr 74.00 (SSO1721D74),11.4,0,7.5,12.05,0,10,Call,83.9,9.775,74,4/21/17,SSO1721D74,4/21/17,0,0,0.882002384
17 Apr 75.00 (SSO1721D75),10.5,0,6.5,10.95,0,43,Call,83.9,8.725,75,4/21/17,SSO1721D75,4/21/17,0,0,0.893921335
17 Apr 76.00 (SSO1721D76),0,0,5.5,9.95,0,0,Call,83.9,7.725,76,4/21/17,SSO1721D76,4/21/17,0,0,0.905840286
17 Apr 77.00 (SSO1721D77),10.15,0,4.5,8.65,0,31,Call,83.9,6.575,77,4/21/17,SSO1721D77,4/21/17,0,0,0.917759237
17 Apr 77.50 (SSO1721D77.5),0,0,4.1,8.45,0,0,Call,83.9,6.275,77.5,4/21/17,SSO1721D77.5,4/21/17,0,0,0.923718713
17 Apr 78.00 (SSO1721D78),7.55,0,3.45,7.6,0,26,Call,83.9,5.525,78,4/21/17,SSO1721D78,4/21/17,0,0,0.929678188
17 Apr 78.50 (SSO1721D78.5),0,0,3,7.35,0,0,Call,83.9,5.175,78.5,4/21/17,SSO1721D78.5,4/21/17,0,0,0.935637664
17 Apr 79.00 (SSO1721D79),5.02,-0.66,4.3,6.6,30,51,Call,83.9,5.45,79,4/21/17,SSO1721D79,4/21/17,0,0,0.941597139
17 Apr 79.50 (SSO1721D79.5),0,0,2.3,5.95,0,0,Call,83.9,4.125,79.5,4/21/17,SSO1721D79.5,4/21/17,0,0,0.947556615
17 Apr 80.00 (SSO1721D80),4.12,-0.5,2.96,4.7,3,16,Call,83.9,3.83,80,4/21/17,SSO1721D80,4/21/17,0,0,0.953516091
17 Apr 80.50 (SSO1721D80.5),3.25,0,1.35,5.15,0,1,Call,83.9,3.25,80.5,4/21/17,SSO1721D80.5,4/21/17,0,0,0.959475566
17 Apr 81.00 (SSO1721D81),2.9,0,0.85,4.9,0,76,Call,83.9,2.875,81,4/21/17,SSO1721D81,4/21/17,0,0,0.965435042
17 Apr 81.50 (SSO1721D81.5),2.38,0,0.36,3.5,0,5,Call,83.9,1.93,81.5,4/21/17,SSO1721D81.5,4/21/17,0,0,0.971394517
17 Apr 82.00 (SSO1721D82),2.03,0.71,1.27,2.84,20,29,Call,83.9,2.055,82,4/21/17,SSO1721D82,4/21/17,0,0,0.977353993
