Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,22.91,23.0431,22.90,22.9711,21000,22.9711
2017-02-23,22.871,22.9301,22.82,22.93,37300,22.93
2017-02-22,22.69,22.7814,22.69,22.78,38600,22.78
2017-02-21,22.90,22.90,22.6501,22.6821,27600,22.6821
2017-02-17,22.76,22.87,22.76,22.79,14800,22.79
2017-02-16,22.5476,22.91,22.5476,22.8253,43500,22.8253
2017-02-15,22.5188,22.75,22.43,22.72,40800,22.72
2017-02-14,22.53,22.579,22.3815,22.53,26200,22.53
2017-02-13,22.54,22.724,22.5399,22.64,14300,22.64
2017-02-10,22.56,22.60,22.475,22.53,18900,22.53
2017-02-09,22.40,22.50,22.35,22.47,21500,22.47
2017-02-08,22.40,22.47,22.39,22.4358,13600,22.4358
2017-02-07,22.39,22.50,22.37,22.3879,21900,22.3879
2017-02-06,22.34,22.48,22.18,22.39,27800,22.39
2017-02-03,22.29,22.44,22.10,22.2379,25000,22.2379
2017-02-02,22.0741,22.275,22.0741,22.275,9600,22.275
2017-02-01,22.064,22.125,21.95,22.08,5100,22.08
2017-01-31,22.0026,22.12,21.97,22.05,6000,22.05
2017-01-30,21.99,22.0997,21.96,22.06,16700,22.06
2017-01-27,22.0285,22.17,21.86,21.99,11200,21.99
2017-01-26,21.90,22.09,21.86,22.01,28300,22.01
2017-01-25,21.88,21.97,21.86,21.907,11700,21.907
2017-01-24,21.77,21.9699,21.77,21.96,8800,21.96
2017-01-23,21.99,22.15,21.99,22.00,15300,22.00
2017-01-20,21.88,22.09,21.61,22.09,22300,22.09
2017-01-19,22.18,22.18,21.70,21.7414,27100,21.7414
2017-01-18,22.301,22.36,22.25,22.36,5800,22.36
2017-01-17,22.4983,22.4983,22.30,22.35,27300,22.35
2017-01-13,22.4964,22.51,22.42,22.47,21900,22.47
2017-01-12,22.36,22.67,22.36,22.42,29000,22.42
2017-01-11,22.37,22.55,22.2628,22.4665,48000,22.4665
2017-01-10,22.35,22.35,22.15,22.33,38100,22.33
2017-01-09,22.38,22.38,22.2035,22.29,33300,22.29
2017-01-06,22.27,22.28,22.20,22.28,29300,22.28
2017-01-05,22.31,22.44,22.05,22.29,62800,22.29
2017-01-04,21.81,22.29,21.7891,22.24,67100,22.24
2017-01-03,21.67,21.94,21.67,21.81,18700,21.81
2016-12-30,21.7001,21.77,21.571,21.77,26600,21.77
2016-12-29,21.65,21.87,21.5945,21.72,8500,21.72
2016-12-28,21.60,21.83,21.53,21.79,14700,21.79
2016-12-27,21.99,22.01,21.60,21.73,24200,21.73
2016-12-23,22.1999,22.1999,21.90,22.03,7700,22.03
2016-12-22,22.00,22.175,21.941,22.15,22400,22.15
2016-12-21,21.74,22.1949,21.74,22.12,24300,22.12
2016-12-20,21.85,21.94,21.8056,21.93,32500,21.93
2016-12-19,21.66,21.85,21.47,21.7379,62200,21.7379
2016-12-16,21.56,21.65,21.43,21.65,35700,21.65
2016-12-15,21.30,21.67,21.23,21.59,14400,21.59
2016-12-14,21.52,21.66,21.32,21.39,31400,21.39
2016-12-13,21.40,21.74,21.40,21.58,26900,21.58
2016-12-12,21.4035,21.56,21.32,21.5285,32500,21.5285
2016-12-09,21.33,21.63,21.25,21.63,17500,21.63
2016-12-08,21.26,21.57,21.16,21.40,34900,21.40
2016-12-07,21.9281,21.94,21.21,21.33,122600,21.33
2016-12-06,21.73,21.9063,21.71,21.81,14700,21.81
2016-12-05,21.93,21.93,21.7142,21.86,17200,21.86
2016-12-02,22.0071,22.1116,21.63,21.66,14400,21.66
2016-12-01,21.96,22.03,21.61,21.89,13400,21.89
2016-11-30,22.15,22.15,21.90,22.00,18000,22.00
2016-11-29,22.00,22.43,22.00,22.2304,47600,22.2304
2016-11-28,22.04,22.04,21.81,21.95,67400,21.95
2016-11-25,21.947,21.947,21.947,21.947,1400,21.947
2016-11-23,21.79,22.0999,21.79,22.04,22300,22.04
2016-11-22,22.0301,22.23,22.03,22.08,26000,22.08
2016-11-21,22.08,22.18,21.8733,22.10,90200,22.10
2016-11-18,22.05,22.06,21.51,21.5606,21100,21.5606
2016-11-17,22.09,22.16,22.0535,22.09,58300,22.09
2016-11-16,21.79,22.146,21.79,22.10,12000,22.10
2016-11-15,21.11,21.88,21.11,21.73,31400,21.73
2016-11-14,21.24,21.2619,20.822,21.07,103500,21.07
2016-11-11,21.74,21.74,21.10,21.42,50700,21.42
2016-11-10,22.21,22.21,21.29,21.49,70000,21.49
2016-11-09,22.19,22.3888,22.02,22.17,28100,22.17
2016-11-08,22.251,22.42,22.251,22.38,35300,22.38
2016-11-07,22.5668,22.71,22.24,22.41,41100,22.41
2016-11-04,22.39,22.53,22.35,22.52,81400,22.52
2016-11-03,22.47,22.47,22.30,22.35,16100,22.35
2016-11-02,22.41,22.465,22.31,22.44,29300,22.44
2016-11-01,22.40,22.42,22.26,22.40,39300,22.40
2016-10-31,22.235,22.52,22.235,22.41,29500,22.41
2016-10-28,22.11,22.22,21.92,22.17,34500,22.17
2016-10-27,22.33,22.33,21.76,22.05,57800,22.05
2016-10-26,22.43,22.65,22.15,22.31,48400,22.31
2016-10-25,22.80,22.80,22.385,22.51,67500,22.51
2016-10-24,23.37,23.39,22.78,22.84,92700,22.84
2016-10-21,23.71,23.80,23.49,23.49,264100,23.2344
2016-10-20,23.7418,23.81,23.69,23.79,30000,23.5312
2016-10-19,23.80,23.93,23.71,23.79,27900,23.5312
2016-10-18,23.84,23.85,23.71,23.80,170700,23.5411
2016-10-17,23.72,23.75,23.669,23.70,76200,23.4422
2016-10-14,23.69,23.80,23.6417,23.72,106900,23.4619
2016-10-13,23.76,23.76,23.50,23.69,121300,23.4323
2016-10-12,23.90,23.94,23.74,23.78,95800,23.5213
2016-10-11,24.15,24.22,23.882,23.98,47300,23.7191
2016-10-10,23.98,24.32,23.98,24.25,135300,23.9862
2016-10-07,23.89,23.89,23.81,23.86,22800,23.6004
2016-10-06,23.84,23.97,23.80,23.89,73500,23.6301
2016-10-05,23.85,23.90,23.813,23.84,60600,23.5806
2016-10-04,23.84,23.94,23.79,23.84,45900,23.5806
2016-10-03,23.70,23.94,23.70,23.84,80600,23.5806
