Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,13.62,13.62,13.46,13.47,7505900,13.47
2017-02-23,13.45,13.60,13.45,13.50,8918800,13.50
2017-02-22,13.55,13.57,13.49,13.51,6027800,13.51
2017-02-21,13.60,13.61,13.47,13.50,8270800,13.50
2017-02-17,13.79,13.79,13.66,13.66,5660400,13.66
2017-02-16,13.68,13.80,13.65,13.71,8787700,13.71
2017-02-15,13.86,13.86,13.65,13.68,11665500,13.68
2017-02-14,13.96,14.00,13.81,13.81,8411100,13.81
2017-02-13,14.01,14.02,13.89,13.92,8807600,13.92
2017-02-10,14.15,14.16,14.05,14.08,6927300,14.08
2017-02-09,14.33,14.33,14.15,14.19,7686400,14.19
2017-02-08,14.45,14.48,14.35,14.36,5166900,14.36
2017-02-07,14.35,14.43,14.31,14.39,5264900,14.39
2017-02-06,14.41,14.45,14.35,14.40,4144500,14.40
2017-02-03,14.43,14.47,14.32,14.34,7833800,14.34
2017-02-02,14.63,14.67,14.51,14.55,5330900,14.55
2017-02-01,14.48,14.66,14.44,14.57,7578400,14.57
2017-01-31,14.66,14.74,14.57,14.58,8013500,14.58
2017-01-30,14.50,14.72,14.49,14.55,9744000,14.55
2017-01-27,14.34,14.43,14.32,14.38,4884300,14.38
2017-01-26,14.34,14.39,14.30,14.35,4605000,14.35
2017-01-25,14.44,14.46,14.32,14.33,8746600,14.33
2017-01-24,14.73,14.75,14.51,14.58,8212800,14.58
2017-01-23,14.74,14.88,14.68,14.76,8517900,14.76
2017-01-20,14.69,14.77,14.61,14.70,6901100,14.70
2017-01-19,14.68,14.86,14.65,14.79,6074200,14.79
2017-01-18,14.71,14.79,14.68,14.68,4301600,14.68
2017-01-17,14.74,14.81,14.68,14.75,7944000,14.75
2017-01-13,14.69,14.70,14.60,14.64,4975600,14.64
2017-01-12,14.71,14.92,14.68,14.70,6733600,14.70
2017-01-11,14.75,14.84,14.64,14.64,7007600,14.64
2017-01-10,14.71,14.77,14.59,14.71,3911500,14.71
2017-01-09,14.66,14.73,14.64,14.70,3619500,14.70
2017-01-06,14.71,14.79,14.55,14.61,7390100,14.61
2017-01-05,14.75,14.85,14.70,14.72,5920200,14.72
2017-01-04,14.82,14.83,14.68,14.71,6640800,14.71
2017-01-03,14.91,15.06,14.80,14.88,7779700,14.88
2016-12-30,14.94,15.22,14.94,15.11,9189500,15.11
2016-12-29,14.99,15.07,14.93,15.00,5251200,15.00
2016-12-28,14.71,15.01,14.71,14.98,8103000,14.98
2016-12-27,14.78,14.79,14.69,14.74,3770500,14.74
2016-12-23,14.85,14.89,14.82,14.83,2397800,14.83
2016-12-22,14.84,14.93,14.81,14.85,4568100,14.85
2016-12-21,14.75,14.81,14.72,14.80,2526500,14.80
2016-12-20,14.75,14.80,14.70,14.73,5189800,14.73
2016-12-19,14.88,14.90,14.77,14.85,4973400,14.85
2016-12-16,14.78,14.96,14.77,14.89,6611300,14.89
2016-12-15,14.94,14.96,14.71,14.85,7868900,14.85
2016-12-14,14.78,15.04,14.67,14.96,14635100,14.96
2016-12-13,14.82,14.83,14.65,14.73,9007900,14.73
2016-12-12,14.91,14.99,14.83,14.93,7021700,14.93
2016-12-09,15.04,15.05,14.89,14.89,10474200,14.89
2016-12-08,15.17,15.20,15.00,15.08,10111200,15.08
2016-12-07,15.59,15.61,15.14,15.15,14245000,15.15
2016-12-06,15.62,15.71,15.55,15.55,5203600,15.55
2016-12-05,15.71,15.74,15.60,15.66,6344600,15.66
2016-12-02,15.85,15.91,15.77,15.86,7047200,15.86
2016-12-01,15.70,15.92,15.70,15.87,7279700,15.87
2016-11-30,15.57,15.75,15.54,15.75,5799900,15.75
2016-11-29,15.73,15.78,15.59,15.67,5916900,15.67
2016-11-28,15.64,15.75,15.59,15.73,7332300,15.73
2016-11-25,15.64,15.66,15.57,15.57,4200100,15.57
2016-11-23,15.82,15.84,15.69,15.71,5351800,15.71
2016-11-22,15.72,15.84,15.69,15.73,6862000,15.73
2016-11-21,15.93,15.95,15.78,15.78,11277500,15.78
2016-11-18,15.93,16.059999,15.91,16.02,6811900,16.02
2016-11-17,16.09,16.110001,15.94,15.96,12105800,15.96
2016-11-16,16.16,16.18,16.08,16.110001,7420900,16.110001
2016-11-15,16.25,16.280001,16.059999,16.07,9901300,16.07
2016-11-14,16.219999,16.440001,16.209999,16.32,10206400,16.32
2016-11-11,16.389999,16.50,16.290001,16.32,13587600,16.32
2016-11-10,16.18,16.52,16.049999,16.26,21860700,16.26
2016-11-09,16.99,16.99,16.23,16.33,36784100,16.33
2016-11-08,16.93,16.98,16.59,16.690001,16782400,16.690001
2016-11-07,17.139999,17.16,16.85,16.860001,19202000,16.860001
2016-11-04,17.57,17.66,17.40,17.629999,14410200,17.629999
2016-11-03,17.389999,17.65,17.34,17.58,11684400,17.58
2016-11-02,17.26,17.52,17.209999,17.43,16425800,17.43
2016-11-01,16.92,17.450001,16.91,17.209999,21053300,17.209999
2016-10-31,16.92,17.01,16.879999,16.99,7550600,16.99
2016-10-28,16.879999,17.10,16.76,16.969999,18765500,16.969999
2016-10-27,16.66,16.889999,16.65,16.870001,7600800,16.870001
2016-10-26,16.870001,16.91,16.68,16.790001,9729400,16.790001
2016-10-25,16.639999,16.75,16.60,16.709999,5280400,16.709999
2016-10-24,16.60,16.68,16.540001,16.620001,5222400,16.620001
2016-10-21,16.91,16.940001,16.73,16.76,6494800,16.76
2016-10-20,16.77,16.889999,16.66,16.77,8295100,16.77
2016-10-19,16.74,16.82,16.65,16.719999,7544600,16.719999
2016-10-18,16.709999,16.870001,16.700001,16.780001,7137100,16.780001
2016-10-17,16.90,17.049999,16.85,17.00,8087400,17.00
2016-10-14,16.73,16.91,16.639999,16.889999,8771600,16.889999
2016-10-13,17.049999,17.190001,16.809999,16.90,16611500,16.90
2016-10-12,16.83,16.91,16.700001,16.799999,8899100,16.799999
2016-10-11,16.50,16.969999,16.49,16.83,12900500,16.83
2016-10-10,16.43,16.450001,16.34,16.43,6578500,16.43
2016-10-07,16.440001,16.73,16.40,16.59,9017100,16.59
